小林阿盛壽司,0-100,日式壽司,麵類,null,溫州街
好想吃冰 かき氷/日式蔬食 台大公館店（公館美食.公館素食.日式素食）,100-200,甜點,冰品,null,溫州街
漁人食鋪,200-300,日式丼飯,null,null,溫州街
爭鮮迴轉壽司-台大店,0-100,日式壽司,null,null,溫州街
有意思居酒食堂,100-200,日式丼飯,null,null,溫州街
韓庭州韓國料理,100-200,韓式料理,null,null,溫州街
俄羅斯城堡,300-500,俄羅斯料理,null,null,溫州街
Rebirth Cafe & Restaurant,200-300,咖啡廳,甜點,鹹食,溫州街
女巫店,100-300,咖啡廳,甜點,鹹食,溫州街
Sababa Pita Bar沙巴巴中東美食,100-200,中東料理,null,null,溫州街
3 Idiots Toast & Curry 三個傻瓜蔬食印度餐廳-公館店,200-300,印度料理,咖哩飯,null,溫州街
Masala House 香料館,100-300,印度料理,咖哩飯,null,溫州街
保護傘 Aegis,100-200,港式料理,義大利麵,null,溫州街
小川西堂,100-200,麵類,null,null,溫州街
泰街頭,100-200,泰式料理,咖哩飯,null,溫州街
上賀麵食館,0-100,麵類,水餃,飯類,溫州街
滇味小館,0-100,泰式料理,麵類,飯類,溫州街
越南清化河粉,100-200,越式料理,河粉,飯類,溫州街
指有雞飯 CHICKEN RICE ONLY,100-200,飯類,null,null,溫州街
稻咖哩,100-200,咖哩飯,null,null,溫州街
公館-咖哩先生,100-200,咖哩飯,null,null,溫州街
NoName無名咖哩 台大店,100-200,咖哩飯,null,null,溫州街
寶貝咖哩 Treasure Curry 日本湯咖哩,100-200,咖哩飯,null,null,溫州街
大葉麵食館,0-100,麵類,null,null,溫州街
牛洞食堂,100-200,日式丼飯,null,null,溫州街
すき家 SUKIYA 公館店,100-200,日式丼飯,null,null,溫州街
鳳城臘味家 (百合店),0-100,港式料理,飯類,麵類,溫州街
阿英滷肉飯,100-200,飯類,null,null,溫州街
小飯廳,100-200,飯類,咖哩飯,null,溫州街
柒食貳,0-100,飯類,null,null,溫州街
七里亭,0-100,飯類,null,null,溫州街
蠶居,0-100,飯類,麵類,null,溫州街
雲香亭（閃麵,0-100,麵類,null,null,溫州街
海賊食堂,100-200,飯類,麵類,null,溫州街
尚家香雲南美味麵食館,0-100,麵類,湯麵,null,溫州街
彩椒廚房,100-200,飯類,麵類,火鍋,溫州街
大聲公 台大牛肉麵店,100-200,麵類,水餃,null,溫州街
麥子磨麵台大店,100-200,麵類,飯類,null,溫州街
笠原麵食館,0-100,麵類,水餃,null,溫州街
八方雲集 (台大店),0-100,麵類,水餃,null,溫州街
老先覺功夫窯燒鍋台北公館店,100-200,火鍋,null,null,溫州街
集客人間茶館-台大店,200-300,火鍋,null,null,溫州街
溏老鴨平價小火鍋,100-200,火鍋,null,null,溫州街
蘇活義大利麵坊,200-300,義大利麵,null,null,溫州街
轉轉發現義大利麵,100-200,義大利麵,null,null,溫州街
瑪莉珍比薩 台大店,200-300,披薩,null,null,溫州街
POST霞飛驛歐法點餐,200-300,義大利麵,null,null,溫州街
樹下蘇活,300-400,燉飯,排餐,null,溫州街
感恩小館,200-300,燉飯,義大利麵,null,溫州街
Pasta 2 Go,0-100,義大利麵,null,null,溫州街
Cafe Bastille,200-300,燉飯,義大利麵,早午餐,溫州街
左巴好室．好事,200-300,燉飯,義大利麵,早午餐,溫州街
孫東寶牛排大安羅斯福店,200-300,排餐,null,null,溫州街
楽坡BonBox - 台北公館店,100-200,飯類,null,null,溫州街
金湯匙豆花坊 素食 簡餐便當/台北美食/台北豆花/台北便當/台北剉冰/台北推薦餐廳/台北小吃,100-200,冰品,麵類,飯類,溫州街
安好食,0-100,早餐,鹹食,null,溫州街
光一肆號,300-500,燉飯,義大利麵,排餐,溫州街
imperfect coffee & matcha,100-300,咖啡廳,早午餐,甜點,溫州街
picnic野餐咖啡,100-200,咖啡廳,早午餐,甜點,溫州街
AGCT apartment,200-400,咖啡廳,早午餐,null,溫州街
成真咖啡 台北台大店,200-300,咖啡廳,甜點,披薩,溫州街
找到咖啡,200-400,咖啡廳,甜點,早午餐,溫州街
秘徑小食光/義大利麵/燉飯/排餐/早午餐/商業午餐/午晚餐/咖啡館|下午茶|場地租借,200-300,燉飯,義大利麵,早午餐,溫州街
開心農場素食店,0-100,麵類,飯類,素食,溫州街
高和食堂,100-200,咖哩飯,日式拉麵,null,後門
韓喜堂,100-200,韓式料理,飯類,火鍋,後門
米食 미식,100-200,韓式料理,飯類,火鍋,後門
揪食堂 韓國餐館,100-200,韓式料理,飯類,麵類,後門
良記十三香,100-200,飯類,null,null,後門
憶馬當鮮 馬來西亞風味料理,100-200,馬來西亞料理,火鍋,咖哩飯,後門
黎記北越河粉,100-200,越式料理,飯類,麵類,後門
越悅越南茶餐廳,100-200,越式料理,麵類,null,後門
台越美食,0-100,越式料理,飯類,null,後門
湄賽雲泰料理,100-200,泰式料理,null,null,後門
滇味小廚,100-200,泰式料理,飯類,麵類,後門
卡瓦利印度料理KAVERI Indian Restaurant,100-200,印度料理,咖哩飯,null,後門
厚宅,100-200,日式丼飯,咖哩飯,排餐,後門
梧貳WUERFOODS(歐姆蛋包飯專賣店),100-200,飯類,咖哩飯,null,後門
裸湯拉麵·雞白湯,200-300,日式拉麵,null,null,後門
壹之穴沾麵專門店,200-300,日式拉麵,null,null,後門
邦食堂,100-200,日式丼飯,null,null,後門
親來食堂,100-200,飯類,null,null,後門
麻吉食堂,0-100,飯類,咖哩飯,null,後門
笑嘻嘻港式現炒飯麵,0-100,港式料理,飯類,麵類,後門
瑞榮燒臘,0-100,港式料理,飯類,麵類,後門
采味食光Give Happiness,100-200,飯類,麵類,null,後門
